,City,Country,Lat,Lng,Max Temp,Wind Speed,Humidity,Cloudiness,Date
0,Vila Franca do Campo,PT,37.72,-25.43,69.8,2.24,88,20,1537673400
1,Castro,CL,-42.48,-73.76,45.57,7.2,100,88,1537675391
2,Dikson,RU,73.51,80.55,41.61,12.24,90,92,1537675391
3,East London,ZA,-33.02,27.91,57.2,4.7,82,0,1537671600
4,Amapa,HN,15.09,-87.97,75.2,3.36,88,75,1537675200
5,Bredasdorp,ZA,-34.53,20.04,42.8,3.36,87,0,1537671600
6,Greenwood,US,32.03,-101.9,69.08,7.31,62,0,1537672200
7,Coquimbo,CL,-29.95,-71.34,54.17,6.87,100,0,1537675393
8,Georgetown,GY,6.8,-58.16,77.0,4.7,94,0,1537671600
9,Santa Cruz,US,36.97,-122.03,68.0,8.05,76,1,1537673700
10,Suntar,RU,62.16,117.65,52.28,5.64,62,0,1537675395
11,Alice Springs,AU,-23.7,133.88,80.6,6.93,11,0,1537673400
12,Mitsamiouli,KM,-11.38,43.28,69.8,5.82,94,20,1537671600
13,Phangnga,TH,8.45,98.53,87.8,8.05,74,20,1537673400
14,Chuy,UY,-33.69,-53.46,65.96,8.77,97,92,1537675292
15,Tasiilaq,GL,65.61,-37.64,32.0,4.7,100,0,1537674600
16,Punta Arenas,CL,-53.16,-70.91,28.4,6.93,79,40,1537671600
17,Fredensborg,DK,55.97,12.41,53.6,16.11,87,20,1537672800
18,Bethel,US,60.79,-161.76,50.0,21.92,89,90,1537673100
19,Chokurdakh,RU,70.62,147.9,35.72,5.75,97,92,1537675398
20,Port Alfred,ZA,-33.59,26.89,60.47,7.2,100,24,1537675398
21,Biltine,TD,14.53,20.93,81.71,13.69,29,44,1537675398
22,Mar del Plata,AR,-46.43,-67.52,41.52,7.54,100,88,1537675398
23,Onverwacht,SR,5.59,-55.2,75.2,3.36,94,0,1537675200
24,Bradford,GB,53.79,-1.75,44.6,6.93,81,0,1537672800
25,Turukhansk,RU,65.8,87.96,49.17,12.35,99,88,1537675399
26,Mataura,NZ,-46.19,168.86,45.71,14.7,95,92,1537675399
27,Mataura,NZ,-46.19,168.86,45.71,14.7,95,92,1537675399
28,Arraial do Cabo,BR,-22.97,-42.02,67.04,2.95,100,20,1537675400
29,Worthington,US,43.62,-95.6,59.0,6.93,87,1,1537673700
30,General Pico,AR,-35.66,-63.75,64.92,9.22,27,56,1537675400
31,Vaini,IN,15.34,74.49,71.9,2.73,92,48,1537675401
32,Adrar,DZ,27.87,-0.29,84.2,13.87,32,40,1537671600
33,Roald,NO,62.58,6.12,46.4,10.29,81,92,1537672800
34,San Ignacio,CL,-36.8,-72.03,50.0,4.7,93,92,1537671600
35,Mataura,NZ,-46.19,168.86,45.71,14.7,95,92,1537675399
36,Saldanha,PT,41.42,-6.55,51.56,1.95,79,8,1537675118
37,Georgetown,GY,6.8,-58.16,77.0,4.7,94,0,1537671600
38,Mataura,NZ,-46.19,168.86,45.71,14.7,95,92,1537675399
39,Tasiilaq,GL,65.61,-37.64,32.0,4.7,100,0,1537674600
40,San Jose,PH,15.79,120.99,83.78,1.95,82,8,1537675112
41,Marawi,PH,8.0,124.29,75.95,2.73,86,76,1537675403
42,Kodiak,US,39.95,-94.76,51.98,5.19,96,1,1537674780
43,Taltal,CL,-25.41,-70.49,50.61,1.5,97,0,1537675403
44,Saint-Philippe,CA,45.36,-73.48,50.0,5.82,81,1,1537672500
45,Port Alfred,ZA,-33.59,26.89,60.47,7.2,100,24,1537675398
46,Srednekolymsk,RU,67.46,153.71,35.72,3.4,91,92,1537675404
47,Ushuaia,AR,-54.81,-68.31,32.0,10.29,100,75,1537671600
48,Bredasdorp,ZA,-34.53,20.04,42.8,3.36,87,0,1537671600
49,Rikitea,PF,-23.12,-134.97,71.09,7.09,100,92,1537675404
50,Saint George,GR,39.45,22.34,62.6,4.7,63,0,1537672800
51,Batemans Bay,AU,-35.71,150.18,60.11,4.18,80,56,1537675405
52,Porto Belo,BR,-27.15,-48.54,71.6,10.29,88,75,1537675200
53,Daru,SL,7.99,-10.85,72.89,8.43,99,92,1537675405
54,Mataura,NZ,-46.19,168.86,45.71,14.7,95,92,1537675399
55,Ribeira Grande,PT,38.52,-28.7,75.36,15.37,95,76,1537675406
56,Lompoc,US,34.64,-120.46,60.98,4.7,77,1,1537673940
57,Hithadhoo,MV,-0.6,73.08,83.82,5.53,100,56,1537675406
58,Ylojarvi,FI,61.56,23.6,44.6,6.93,93,0,1537672800
59,Torbay,CA,47.66,-52.73,46.4,9.17,81,40,1537671600
60,Bluff,AU,-23.58,149.07,82.47,11.23,29,0,1537675407
61,Rocha,UY,-34.48,-54.34,65.82,2.84,98,92,1537675407
62,Chokurdakh,RU,70.62,147.9,35.72,5.75,97,92,1537675398
63,Constitucion,MX,23.99,-104.67,62.6,3.36,88,90,1537670700
64,Busselton,AU,-33.64,115.35,62.67,4.97,97,44,1537675407
65,Rochegda,RU,62.67,43.41,62.67,9.1,77,0,1537675408
66,Taylor,US,30.57,-97.41,71.06,9.22,88,90,1537672620
67,Lubao,PH,14.94,120.6,87.8,2.24,66,40,1537671600
68,Khani,GE,41.96,42.96,60.8,4.7,93,40,1537673400
69,Hermanus,ZA,-34.42,19.24,33.29,2.73,96,0,1537675409
70,Punto Fijo,VE,11.69,-70.21,82.4,19.51,65,20,1537671600
71,Guangyuan,CN,32.43,105.86,69.69,2.73,83,64,1537675409
72,Geraldton,CA,49.72,-86.95,35.6,3.36,93,90,1537671600
73,Quatre Cocos,MU,-20.21,57.76,77.0,16.11,65,40,1537675200
74,Vite,ES,42.89,-8.54,62.6,2.24,100,90,1537673400
75,New Norfolk,AU,-42.78,147.06,51.8,23.04,64,20,1537673400
76,Rikitea,PF,-23.12,-134.97,71.09,7.09,100,92,1537675404
77,Skibbereen,IE,51.55,-9.27,48.2,9.17,87,75,1537673400
